,Station Number,Station Name,Latitude,Longitude,RHBN
212,07BJ003, SWAN RIVER NEAR SWAN HILLS,54.8,115.47,True
213,07BK007, DRIFTWOOD RIVER NEAR THE MOUTH,55.26,114.23,True
214,07BK009, SAWRIDGE CREEK NEAR SLAVE LAKE,55.27,114.78,True
215,07FD006, SADDLE RIVER NEAR WOKING,55.64,118.7,True
216,07GA001, SMOKY RIVER ABOVE HELLS CREEK,53.95,119.16,True
217,07GD001, BEAVERLODGE RIVER NEAR BEAVERLODGE,55.19,119.44,True
218,07GE001, WAPITI RIVER NEAR GRANDE PRAIRIE,55.07,118.8,True
219,07GE003, GRANDE PRAIRIE CREEK NEAR SEXSMITH,55.37,118.92,True
220,07GF001, SIMONETTE RIVER NEAR GOODWIN,55.14,118.18,True
221,07GG001, WASKAHIGAN RIVER NEAR THE MOUTH,54.75,117.21,True
222,07GG002, LITTLE SMOKY RIVER AT LITTLE SMOKY,54.74,117.18,True
223,07GG003, IOSEGUN RIVER NEAR LITTLE SMOKY,54.75,117.15,True
224,07GJ001, SMOKY RIVER AT WATINO,55.71,117.62,True
225,11AA026, SAGE CREEK AT Q RANCH NEAR WILDHORSE,49.11,110.22,True
